home_team,away_team,match_date,tournament
Estudiantes-LP,Universidad Católica,2026-08-11,Libertadores
Deportes Tolima,Independiente,2026-08-11,Libertadores
Fluminense,Ind. Rivadavia,2026-08-11,Libertadores
Platense,Coquimbo Unido,2026-08-12,Libertadores
Palmeiras,Cerro Porteño,2026-08-12,Libertadores
Cruzeiro,Flamengo,2026-08-12,Libertadores
Mirassol,LDU Quito,2026-08-13,Libertadores
Rosario Central,Corinthians,2026-08-13,Libertadores
Universidad Católica,Estudiantes-LP,2026-08-18,Libertadores
Independiente,Deportes Tolima,2026-08-18,Libertadores
Ind. Rivadavia,Fluminense,2026-08-18,Libertadores
Coquimbo Unido,Platense,2026-08-19,Libertadores
Cerro Porteño,Palmeiras,2026-08-19,Libertadores
Flamengo,Cruzeiro,2026-08-19,Libertadores
LDU Quito,Mirassol,2026-08-20,Libertadores
Corinthians,Rosario Central,2026-08-20,Libertadores
