date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,away_team_confederation,home_team_fifa_rank,home_team_fifa_points,away_team_fifa_rank,away_team_fifa_points
2026-03-26,Turkey,Romania,1,0,FIFA World Cup qualification,Istanbul,Turkey,False,UEFA,UEFA,,,,
2026-03-26,Italy,Northern Ireland,2,0,FIFA World Cup qualification,Bergamo,Italy,False,UEFA,UEFA,,,,
2026-03-26,Wales,Bosnia and Herzegovina,1,1,FIFA World Cup qualification,Cardiff,Wales,False,UEFA,UEFA,,,,
2026-03-26,Ukraine,Sweden,1,3,FIFA World Cup qualification,Valencia,Spain,True,UEFA,UEFA,,,,
2026-03-26,Poland,Albania,2,1,FIFA World Cup qualification,Warsaw,Poland,False,UEFA,UEFA,,,,
2026-03-26,Slovakia,Kosovo,3,4,FIFA World Cup qualification,Bratislava,Slovakia,False,UEFA,UEFA,,,,
2026-03-26,Denmark,North Macedonia,4,0,FIFA World Cup qualification,Copenhagen,Denmark,False,UEFA,UEFA,,,,
2026-03-26,Czech Republic,Republic of Ireland,2,2,FIFA World Cup qualification,Prague,Czech Republic,False,UEFA,UEFA,,,,
2026-03-26,Tanzania,Liechtenstein,0,1,Friendly,Kigali,Rwanda,True,CAF,UEFA,,,,
2026-03-26,Moldova,Lithuania,0,2,Friendly,Chisinau,Moldova,False,UEFA,UEFA,,,,
2026-03-26,Georgia,Israel,2,2,Friendly,Tbilisi,Georgia,False,UEFA,UEFA,,,,
2026-03-26,Cyprus,Belarus,0,1,Friendly,Nicosia,Cyprus,False,UEFA,UEFA,,,,
2026-03-26,Brazil,France,1,2,Friendly,Boston,United States,True,CONMEBOL,UEFA,,,,
2026-03-26,Croatia,Colombia,2,1,Friendly,Orlando,United States,True,UEFA,CONMEBOL,,,,
