date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,away_team_confederation,home_team_fifa_rank,home_team_fifa_points,away_team_fifa_rank,away_team_fifa_points
2025-12-17,Angola,Mozambique,4,1,Friendly,,,False,CAF,CAF,,,,
2026-01-18,Canada,Guatemala,1,0,Friendly,,,False,CONCACAF,CONCACAF,,,,
2026-01-18,Grenada,Jamaica,0,1,Friendly,,,False,CONCACAF,CONCACAF,,,,
2026-01-18,Bolivia,Panama,1,1,Friendly,,,False,CONMEBOL,CONCACAF,,,,
2026-01-23,Panama,Mexico,0,1,Friendly,,,False,CONCACAF,CONCACAF,,,,
2026-01-25,Bolivia,Mexico,0,1,Friendly,,,False,CONMEBOL,CONCACAF,,,,
2026-01-26,Uzbekistan,China,2,2,Friendly,,,False,AFC,AFC,,,,
2026-02-26,Mexico,Iceland,4,0,Friendly,Santiago de Queretaro,Mexico,False,CONCACAF,UEFA,,,,
2026-03-15,Bolivia,Trinidad and Tobago,3,0,Friendly,Santa Cruz de la Sierra,Bolivia,False,CONMEBOL,CONCACAF,,,,
2026-03-25,Kyrgyzstan,Equatorial Guinea,0,1,Friendly,Antalya,Turkey,True,AFC,CAF,,,,
2026-03-25,DR Congo,Bermuda,2,0,Friendly,Guadalajara,Mexico,True,CAF,CONCACAF,,,,
2026-03-26,Vietnam,Bangladesh,3,0,Friendly,Hanoi,Vietnam,False,AFC,AFC,,,,
2026-03-26,Sint Maarten,Barbados,3,1,Friendly,,,False,CONCACAF,CONCACAF,,,,
2026-03-26,Martinique,Cuba,2,2,Friendly,,,False,CONCACAF,CONCACAF,,,,
2026-03-26,Bahamas,Anguilla,1,3,Friendly,,,False,CONCACAF,CONCACAF,,,,
2026-03-27,Cayman Islands,British Virgin Islands,1,1,Friendly,,,False,CONCACAF,CONCACAF,,,,
2026-03-27,Dominican Republic,El Salvador,2,2,Friendly,Santiago de los Caballeros,Dominican Republic,False,CONCACAF,CONCACAF,,,,
2026-03-27,Bonaire,Saint Vincent and the Grenadines,3,1,Friendly,,,False,CONCACAF,CONCACAF,,,,
