team,fecha_13,fecha_14,fecha_15,fecha_16,fecha_17,fecha_18
Brasil,Colombia,Argentina,Ecuador,Paraguay,Chile,Bolivia
Argentina,Uruguay,Brasil,Chile,Colombia,Venezuela,Ecuador
Uruguay,Argentina,Bolivia,Paraguay,Venezuela,Peru,Chile
Colombia,Brasil,Paraguay,Peru,Argentina,Bolivia,Venezuela
Ecuador,Venezuela,Chile,Brasil,Peru,Paraguay,Argentina
Paraguay,Chile,Colombia,Uruguay,Brasil,Ecuador,Peru
Bolivia,Peru,Uruguay,Venezuela,Chile,Colombia,Brasil
Chile,Paraguay,Ecuador,Argentina,Bolivia,Brasil,Uruguay
Peru,Bolivia,Venezuela,Colombia,Ecuador,Uruguay,Paraguay
Venezuela,Ecuador,Peru,Bolivia,Uruguay,Argentina,Colombia
