ranking,team,squad_size,avg_age,total_value,confederation,points
1,Argentina,25,27.6,€700.30m,CONMEBOL,1886
2,Spain,26,26.2,€1.16bn,UEFA,1855
3,France,28,26.1,€1.33bn,UEFA,1853
4,England,26,26.5,€1.26bn,UEFA,1819
5,Brazil,23,25.8,€995.60m,CONMEBOL,1776
6,Netherlands,22,26.2,€702.50m,UEFA,1752
7,Portugal,22,26.7,€899.00m,UEFA,1750
8,Belgium,26,26.5,€572.50m,UEFA,1736
9,Italy,23,25.9,€726.00m,UEFA,1718
10,Germany,26,28,€726.00m,UEFA,1717
11,Croatia,24,27.7,€333.30m,UEFA,1699
12,Morocco,27,25.9,€412.30m,CAF,1694
13,Uruguay,24,27,€446.80m,CONMEBOL,1679
14,Colombia,25,29.1,€288.80m,CONMEBOL,1679
15,Japan,25,27.1,€286.90m,AFC,1653
16,United States,23,25.8,€244.10m,CONCACAF,1649
17,Mexico,23,27.1,€199.50m,CONCACAF,1647
18,Iran,20,27,€16.68m,AFC,1637
19,Senegal,24,27.5,€238.60m,CAF,1630
20,Switzerland,26,27.6,€277.85m,UEFA,1625
21,Denmark,23,26.3,€404.55m,UEFA,1618
22,Austria,25,27.7,€191.10m,UEFA,1580
23,South Korea,28,27.5,€122.10m,AFC,1575
24,Ecuador,26,25.4,€296.45m,CONMEBOL,1568
25,Ukraine,26,26.6,€254.10m,UEFA,1560
26,Australia,24,27.7,€23.53m,AFC,1555
27,Turkey,28,25.6,€335.50m,UEFA,1551
28,Sweden,28,25.8,€486.50m,UEFA,1536
29,Wales,26,27.6,€171.35m,UEFA,1536
30,Canada,23,26.1,€189.70m,CONCACAF,1532
31,Serbia,29,26.4,€275.00m,UEFA,1524
32,Egypt,24,28.2,€169.65m,CAF,1519
33,Panama,23,27.2,€22.54m,CONCACAF,1518
34,Poland,25,27.4,€204.20m,UEFA,1517
35,Russia,39,25.8,€202.30m,UEFA,1516
36,Algeria,25,27.5,€199.65m,CAF,1507
37,Hungary,25,27.7,€179.85m,UEFA,1503
38,Norway,23,26.7,€456.20m,UEFA,1497
39,Czech Republic,25,27.7,€160.80m,UEFA,1491
40,Greece,28,26.5,€235.30m,UEFA,1490
