team,team_url
Atalanta,https://fbref.com/en/squads/922493f3/Atalanta-Stats
Atlético Madrid,https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats
Benfica,https://fbref.com/en/squads/a77c513e/Benfica-Stats
Bodø/Glimt,https://fbref.com/en/squads/d86248bd/BodoGlimt-Stats
Club Brugge,https://fbref.com/en/squads/f1e6c5f1/Club-Brugge-Stats
Dortmund,https://fbref.com/en/squads/add600ae/Dortmund-Stats
Galatasaray,https://fbref.com/en/squads/ecd11ca2/Galatasaray-Stats
Inter,https://fbref.com/en/squads/d609edc0/Internazionale-Stats
Juventus,https://fbref.com/en/squads/e0652b02/Juventus-Stats
Leverkusen,https://fbref.com/en/squads/c7a9f859/Leverkusen-Stats
Monaco,https://fbref.com/en/squads/fd6114db/Monaco-Stats
Newcastle United,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
Olympiacos,https://fbref.com/en/squads/2fdb4aef/Olympiacos-Stats
Paris Saint-Germain,https://fbref.com/en/squads/e2d8892c/Paris-Saint-Germain-Stats
Qarabağ,https://fbref.com/en/squads/44b65410/Qarabag-Stats
Real Madrid,https://fbref.com/en/squads/53a2f082/Real-Madrid-Stats
