country,association_name,official_name,association_code,member_id,overall_rank,overall_country_coefficient,season_rank,season_country_coefficient,uefa_season_year,overall_source_url,season_source_url,scraped_at_utc
Spain,Spain,Spain,ESP,122,1,68.467,1,14.857,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Italy,Italy,Italy,ITA,66,2,58.668,3,12.571,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
England,England,England,ENG,39,3,55.459,4,11.571,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Germany,Germany,Germany,GER,47,4,52.99,2,13.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
France,France,France,FRA,43,5,42.352,9,7.125,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Greece,Greece,Greece,GRE,49,6,36.116,5,11.25,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Netherlands,Netherlands,Netherlands,NED,95,7,34.165,6,10.166,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Türkiye,Türki̇ye,Türki̇ye,TUR,135,8,28.725,13,5.625,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Portugal,Portugal,Portugal,POR,110,9,28.249,7,9.375,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Russia,Russia,Russia,RUS,57451,10,27.291,26,2.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Czechia,Czechia,Czechia,CZE,58837,11,26.625,14,5.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Scotland,Scotland,Scotland,SCO,117,12,26.125,10,6.625,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Ukraine,Ukraine,Ukraine,UKR,57166,13,25.958,20,3.625,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Belgium,Belgium,Belgium,BEL,13,14,25.525,12,5.875,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Austria,Austria,Austria,AUT,8,15,23.25,22,3.375,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Switzerland,Switzerland,Switzerland,SUI,128,16,22.625,11,6.125,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Norway,Norway,Norway,NOR,101,17,21.475,23,3.25,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Israel,Israel,Israel,ISR,65,18,21.332,8,8.333,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Croatia,Croatia,Croatia,CRO,56370,19,21.041,17,4.375,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Poland,Poland,Poland,POL,109,20,17.5,18,4.125,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Denmark,Denmark,Denmark,DEN,35,21,17.375,16,4.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Sweden,Sweden,Sweden,SWE,127,22,17.241,19,3.833,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Serbia,Serbia,Serbia,SRB,147,23,16.331,24,3.166,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Slovakia,Slovakia,Slovakia,SVK,58836,24,15.665,21,3.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Bulgaria,Bulgaria,Bulgaria,BUL,20,25,15.165,15,4.833,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Romania,Romania,Romania,ROU,113,26,13.916,25,2.625,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
Hungary,Hungary,Hungary,HUN,57,27,13.749,27,1.5,2002,https://www.uefa.com/nationalassociations/uefarankings/country/?year=2002,https://www.uefa.com/nationalassociations/uefarankings/country/seasons/?year=2002,2026-02-13T21:37:57.705796+00:00
