date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_confederation,away_team_confederation,home_team_fifa_rank,home_team_fifa_points,away_team_fifa_rank,away_team_fifa_points,champion_team,world_cup_year,first_world_cup_match_date,selected_rank_date,champion_rank_pre_wc,opponent_rank_pre_wc
2002-03-07,Brazil,Iceland,6,1,Friendly,Cuiabá,Brazil,False,CONMEBOL,UEFA,5.0,1776.0,74.0,1337.0,Brazil,2002,2002-06-03,2002-05-15,2,56
2002-03-27,Brazil,Serbia,1,0,Friendly,Fortaleza,Brazil,False,CONMEBOL,UEFA,5.0,1776.0,31.0,1524.0,Brazil,2002,2002-06-03,2002-05-15,2,
2002-04-17,Portugal,Brazil,1,1,Friendly,Lisbon,Portugal,False,UEFA,CONMEBOL,7.0,1750.0,5.0,1776.0,Brazil,2002,2002-06-03,2002-05-15,2,5
2002-05-18,Catalonia,Brazil,1,3,Friendly,Barcelona,Spain,False,UEFA,CONMEBOL,110.0,1000.0,5.0,1776.0,Brazil,2002,2002-06-03,2002-05-15,2,
2002-05-25,Malaysia,Brazil,0,4,Friendly,Kuala Lumpur,Malaysia,False,AFC,CONMEBOL,131.0,1124.0,5.0,1776.0,Brazil,2002,2002-06-03,2002-05-15,2,112
2005-11-12,Netherlands,Italy,1,3,Friendly,Amsterdam,Netherlands,False,UEFA,UEFA,6.0,1752.0,9.0,1718.0,Italy,2006,2006-06-12,2006-05-17,13,3
2005-11-16,Ivory Coast,Italy,1,1,Friendly,Geneva,Switzerland,True,CAF,UEFA,41.0,1487.0,9.0,1718.0,Italy,2006,2006-06-12,2006-05-17,13,32
2006-03-01,Italy,Germany,4,1,Friendly,Florence,Italy,False,UEFA,UEFA,9.0,1718.0,10.0,1717.0,Italy,2006,2006-06-12,2006-05-17,13,19
2006-05-31,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,False,UEFA,UEFA,20.0,1625.0,9.0,1718.0,Italy,2006,2006-06-12,2006-05-17,13,35
2006-06-02,Italy,Ukraine,0,0,Friendly,Lausanne,Switzerland,True,UEFA,UEFA,9.0,1718.0,25.0,1560.0,Italy,2006,2006-06-12,2006-05-17,13,45
2009-11-18,Austria,Spain,1,5,Friendly,Vienna,Austria,False,UEFA,UEFA,22.0,1580.0,2.0,1855.0,Spain,2010,2010-06-16,2010-05-26,2,68
2010-03-03,France,Spain,0,2,Friendly,Saint-Denis,France,False,UEFA,UEFA,3.0,1853.0,2.0,1855.0,Spain,2010,2010-06-16,2010-05-26,2,9
2010-05-29,Spain,Saudi Arabia,3,2,Friendly,Innsbruck,Austria,True,UEFA,AFC,2.0,1855.0,58.0,1419.0,Spain,2010,2010-06-16,2010-05-26,2,66
2010-06-03,Spain,South Korea,1,0,Friendly,Innsbruck,Austria,True,UEFA,AFC,2.0,1855.0,23.0,1575.0,Spain,2010,2010-06-16,2010-05-26,2,47
2010-06-08,Spain,Poland,6,0,Friendly,Murcia,Spain,False,UEFA,UEFA,2.0,1855.0,34.0,1517.0,Spain,2010,2010-06-16,2010-05-26,2,58
2013-11-19,England,Germany,0,1,Friendly,London,England,False,UEFA,UEFA,4.0,1819.0,10.0,1717.0,Germany,2014,2014-06-16,2014-06-05,2,10
2014-03-05,Germany,Chile,1,0,Friendly,Stuttgart,Germany,False,UEFA,CONMEBOL,10.0,1717.0,52.0,1462.0,Germany,2014,2014-06-16,2014-06-05,2,14
2014-05-13,Germany,Poland,0,0,Friendly,Hamburg,Germany,False,UEFA,UEFA,10.0,1717.0,34.0,1517.0,Germany,2014,2014-06-16,2014-06-05,2,69
2014-06-01,Germany,Cameroon,2,2,Friendly,Mönchengladbach,Germany,False,UEFA,CAF,10.0,1717.0,50.0,1466.0,Germany,2014,2014-06-16,2014-06-05,2,56
2014-06-06,Germany,Armenia,6,1,Friendly,Mainz,Germany,False,UEFA,UEFA,10.0,1717.0,102.0,1208.0,Germany,2014,2014-06-16,2014-06-05,2,38
2018-03-23,France,Colombia,2,3,Friendly,Saint-Denis,France,False,UEFA,CONMEBOL,3.0,1853.0,14.0,1679.0,France,2018,2018-06-16,2018-06-07,7,16
2018-03-27,Russian Federation,France,1,3,Friendly,Saint Petersburg,Russia,False,UEFA,UEFA,35.0,1516.0,3.0,1853.0,France,2018,2018-06-16,2018-06-07,7,70
2018-05-28,France,Republic of Ireland,2,0,Friendly,Saint-Denis,France,False,UEFA,UEFA,3.0,1853.0,60.0,1412.0,France,2018,2018-06-16,2018-06-07,7,31
2018-06-01,France,Italy,3,1,Friendly,Nice,France,False,UEFA,UEFA,3.0,1853.0,9.0,1718.0,France,2018,2018-06-16,2018-06-07,7,19
2018-06-09,France,United States,1,1,Friendly,Lyon,France,False,UEFA,CONCACAF,3.0,1853.0,16.0,1649.0,France,2018,2018-06-16,2018-06-07,7,25
2022-06-01,Italy,Argentina,0,3,CONMEBOL–UEFA Cup of Champions,Paris,France,True,UEFA,CONMEBOL,9.0,1718.0,1.0,1886.0,Argentina,2022,2022-11-22,2022-10-06,3,6
2022-06-05,Argentina,Estonia,5,0,Friendly,Pamplona,Spain,True,CONMEBOL,UEFA,1.0,1886.0,121.0,1144.0,Argentina,2022,2022-11-22,2022-10-06,3,109
