date,home_team,away_team,home_score,away_score,result,competition,country,season,round,neutral,source,source_file,div_code
1993-07-23,Nantes,Monaco,1.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Bordeaux,Paris SG,1.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Caen,Metz,1.0,1.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Lille,Martigues,1.0,1.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Marseille,Lens,1.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Montpellier,Lyon,1.0,1.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Sochaux,Angers,4.0,1.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,St Etienne,Cannes,1.0,2.0,A,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Strasbourg,Auxerre,1.0,1.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-24,Toulouse,Le Havre,0.0,0.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Auxerre,Montpellier,3.0,1.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Le Havre,Bordeaux,0.0,3.0,A,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Lens,Strasbourg,0.0,0.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Lyon,Caen,2.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Martigues,Sochaux,1.0,1.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Metz,Angers,2.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Monaco,Toulouse,3.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Nantes,St Etienne,1.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-07-31,Paris SG,Lille,2.0,1.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-01,Cannes,Marseille,2.0,1.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-06,Lille,Lens,0.0,0.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-07,Bayern Munich,Freiburg,3.0,1.0,H,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,Dortmund,Karlsruhe,2.0,1.0,H,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,Duisburg,Leverkusen,2.0,2.0,D,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,FC Koln,Kaiserslautern,0.0,2.0,A,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,Hamburg,Nurnberg,5.0,2.0,H,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,Leipzig,Dresden,3.0,3.0,D,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,M'Gladbach,Ein Frankfurt,0.0,4.0,A,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,Wattenscheid,Schalke 04,3.0,0.0,H,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,Werder Bremen,Stuttgart,5.0,1.0,H,Bundesliga,Germany,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/D1.csv,D1
1993-08-07,Angers,Lyon,3.0,1.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-07,Bordeaux,Cannes,0.0,0.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-07,Caen,Auxerre,1.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-07,Marseille,Le Havre,1.0,1.0,D,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-07,Montpellier,Martigues,1.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-07,Sochaux,Metz,2.0,1.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
1993-08-07,St Etienne,Monaco,2.0,0.0,H,Ligue 1,France,1993-1994,Regular season,0,football-data.co.uk,European_Leagues_Data_1993_2026/data (31)/F1.csv,F1
