alias,canonical
Real Madrid CF,Real Madrid
Real Madrid C.F.,Real Madrid
Bayern Munich,Bayern München
Manchester Utd,Man Utd
Man United,Man Utd
Dortmund,B. Dortmund
Atlético Madrid,Atleti
Ath Madrid,Atleti
Ath Bilbao,Athletic Club
Paris SG,Paris
Sociedad,Real Sociedad
Espanol,Espanyol
Betis,Real Betis
Sp Lisbon,Sporting CP
Sp Braga,Braga
M'gladbach,Mönchengladbach
Dinamo Zagreb,GNK Dinamo
Sparta Prague,Sparta Praha
Spartak Moscow,Spartak Moskva
Red Star,Crvena Zvezda
CSKA Moscow,CSKA Moskva
RB Salzburg,Salzburg
Dep La Coruña,Deportivo
Legia Warsaw,Legia Warszawa
Slovan Bratislava,S. Bratislava
Slavia Prague,Slavia Praha
Celtic sct,Celtic
sct Celtic,Celtic
Rangers sct,Rangers
sct Rangers,Rangers
Ludogorets Razgrad,Ludogorets
Steaua,FCSB
