team,overall_source_team_name,overall_source_team_official_name,overall_rank,overall_club_coefficient,season_source_team_name,season_source_team_official_name,season_rank,season_club_coefficient,country,uefa_season_year,overall_source_url,season_source_url,scraped_at_utc
Atalanta,Atalanta,Atalanta BC,16,82.5,Atalanta,Atalanta BC,21,17.5,Italy,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Atlético Madrid,Atleti,Atlético de Madrid,13,95.25,Atleti,Atlético de Madrid,19,17.75,Spain,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Benfica,Benfica,SL Benfica,14,90.0,Benfica,SL Benfica,46,12.25,Portugal,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Bodø/Glimt,Bodø/Glimt,FK Bodø/Glimt,35,60.5,Bodø/Glimt,FK Bodø/Glimt,38,13.5,Norway,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Club Brugge,Club Brugge,Club Brugge KV,20,75.25,Club Brugge,Club Brugge KV,32,14.5,Belgium,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Dortmund,B. Dortmund,Borussia Dortmund,10,100.75,B. Dortmund,Borussia Dortmund,25,16.0,Germany,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Galatasaray,Galatasaray,Galatasaray A.Ş.,49,50.0,Galatasaray,Galatasaray A.Ş.,33,14.25,Türkiye,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Inter,Inter,FC Internazionale Milano,3,127.0,Inter,FC Internazionale Milano,12,19.75,Italy,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Juventus,Juventus,Juventus,22,72.25,Juventus,Juventus,16,19.0,Italy,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Leverkusen,Leverkusen,Bayer 04 Leverkusen,9,102.5,Leverkusen,Bayer 04 Leverkusen,23,17.25,Germany,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Monaco,Monaco,AS Monaco,43,56.0,Monaco,AS Monaco,29,15.0,France,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Newcastle United,Newcastle,Newcastle United FC,76,27.25,Newcastle,Newcastle United FC,15,19.25,England,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Olympiacos,Olympiacos,Olympiacos FC,33,62.25,Olympiacos,Olympiacos FC,27,15.75,Greece,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Paris Saint-Germain,Paris,Paris Saint-Germain,6,114.0,Paris,Paris Saint-Germain,13,19.5,France,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Qarabağ,Qarabağ,Qarabağ FK,60,42.75,Qarabağ,Qarabağ FK,37,13.75,Azerbaijan,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
Real Madrid,Real Madrid,Real Madrid C.F.,1,137.5,Real Madrid,Real Madrid C.F.,11,20.0,Spain,2026,https://www.uefa.com/nationalassociations/uefarankings/club/?year=2026,https://www.uefa.com/nationalassociations/uefarankings/club/seasons/?year=2026,2026-02-12T16:40:53.194340+00:00
