date,home_team,away_team,home_score,away_score,result,competition,country,season,round,neutral,source,source_file,div_code,match_report,scraped_at_utc
1990-09-18,Odense,Real Madrid,1.0,4.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/ec2e0cb8/Odense-Real-Madrid-September-18-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-18,Odense,Real Madrid,1.0,4.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/ec2e0cb8/Odense-Real-Madrid-September-18-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,APOEL FC,Bayern Munich,2.0,3.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/306e0d4b/APOEL-FC-Bayern-Munich-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,APOEL FC,Bayern Munich,2.0,3.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/306e0d4b/APOEL-FC-Bayern-Munich-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,Dinamo București,St Patrick's,4.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/fa05d467/Dinamo-Bucuresti-St-Patricks-Athletic-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,Dinamo București,St Patrick's,4.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/fa05d467/Dinamo-Bucuresti-St-Patricks-Athletic-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,FC Tirol Innsbruck,Lahti,5.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/8e38fa2b/FC-Tirol-Innsbruck-Lahti-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,FC Tirol Innsbruck,Lahti,5.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/8e38fa2b/FC-Tirol-Innsbruck-Lahti-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,KA,CSKA Sofia,1.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/1ceecb09/KA-CSKA-Sofia-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,KA,CSKA Sofia,1.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/1ceecb09/KA-CSKA-Sofia-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,Lech Poznań,Panathinaikos,3.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/6994b64d/Lech-Poznan-Panathinaikos-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,Lech Poznań,Panathinaikos,3.0,0.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/6994b64d/Lech-Poznan-Panathinaikos-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
1990-09-19,Lillestrøm,Club Brugge,1.0,1.0,,Champions Lg,Europe,1990-1991,,0,fbref.com,https://fbref.com/en/comps/8/1990-1991/schedule/Champions-League-Scores-and-Fixtures,UCL,https://fbref.com/en/matches/aa87f197/Lillestrom-Club-Brugge-September-19-1990-European-Cup,2026-02-13T20:13:56.292979+00:00
